Time (CAT);Open;High;Low;Close;Volume 
03/04/2018 23:00:00;7327.5;7371.3;6658.6;6758.4;1613.5925
04/04/2018 23:00:00;6765.7;6841.6;6506.5;6678;1920.5
05/04/2018 23:00:00;6676.7;6774.4;6437.9;6529.7;1578.195
08/04/2018 23:00:00;6923.3;7101.8;6545.4;6591.8;856.35
09/04/2018 23:00:00;6591.6;6793.7;6587.3;6767;818.6725
10/04/2018 23:00:00;6766.7;6891.3;6711.5;6821.3;900.15
11/04/2018 23:00:00;6818.5;7944.5;6688.1;7657.6;1451.2575
12/04/2018 23:00:00;7663;8146.7;7637;7821;1941.15
15/04/2018 23:00:00;8231.8;8337.1;7831.1;7913.8;1489.165
16/04/2018 23:00:00;7913.6;8085.8;7753.9;7844.5;1439.77
17/04/2018 23:00:00;7844.8;8158.4;7797.2;8116.4;857.805
18/04/2018 23:00:00;8117.9;8221;8027.3;8160.6;1140.295
19/04/2018 23:00:00;8160.5;8484.6;8145.5;8450.2;1330.8725
22/04/2018 23:00:00;8840.6;8924.1;8688.1;8858.8;1418.84
23/04/2018 23:00:00;8857.2;9390;8845.9;9377.4;1496.33
24/04/2018 23:00:00;9381.1;9682.5;8691.8;9000.1;2124.9375
25/04/2018 23:00:00;8999.9;9100.7;8587.5;9045.2;1762.4825
26/04/2018 23:00:00;9038.1;9303.4;8884.4;8902;1475.83
29/04/2018 23:00:00;9251.1;9373.7;9047.6;9200.8;1075.8425
30/04/2018 23:00:00;9201.1;9206.4;8763.1;8946.6;1372.225
01/05/2018 23:00:00;8946.5;9114;8910.4;9109.3;990.29
02/05/2018 23:00:00;9109.9;9671.6;9095;9588.3;1177.47
03/05/2018 23:00:00;9581.5;9726.5;9459.2;9613.1;1272.2875
06/05/2018 23:00:00;9467.6;9587.3;9117.5;9366.8;1254.9175
07/05/2018 23:00:00;9370.5;9385.9;8977;9090.1;1146.5075
08/05/2018 23:00:00;9091.2;9398.3;8899.9;9183;1050.2475
09/05/2018 23:00:00;9180.3;9316.8;8985.8;9028;1168.06
10/05/2018 23:00:00;9027.9;9066.3;8319.1;8371.9;1503.2575
13/05/2018 23:00:00;8592.4;8812.8;8221.3;8750.2;1395.9075
14/05/2018 23:00:00;8750.2;8778.3;8368.5;8452.9;1191.215
15/05/2018 23:00:00;8453.8;8479.1;8035.8;8226.8;640.82
16/05/2018 23:00:00;8215;8403.9;8062.3;8138.7;567.13
17/05/2018 23:00:00;8137.4;8208.2;7863.5;8160.7;605.54
20/05/2018 23:00:00;8458.7;8513.1;8249.6;8341;610.505
21/05/2018 23:00:00;8341.9;8355.1;8020.9;8042.8;1143.4425
22/05/2018 23:00:00;8042.1;8043.9;7376.1;7522.5;1719.31
23/05/2018 23:00:00;7520.1;7658.9;7207.4;7474.3;1830.2225
24/05/2018 23:00:00;7474.3;7583.7;7272.2;7379.8;1373.575
27/05/2018 23:00:00;7259.4;7369.6;7101.4;7149.6;1162.4525
28/05/2018 23:00:00;7145.7;7456.1;6987.3;7432.6;1182.25
29/05/2018 23:00:00;7440.3;7489.1;7210.1;7275.4;1156.0575
30/05/2018 23:00:00;7275.3;7532.1;7260;7476;1129.725
31/05/2018 23:00:00;7474.9;7540.5;7288.1;7372.6;1119.77
03/06/2018 23:00:00;7625.5;7689.9;7390.3;7461.5;927.3875
04/06/2018 23:00:00;7461.5;7597.2;7293.4;7565.5;1057.405
05/06/2018 23:00:00;7567.4;7608.3;7422.9;7551.5;873.2725
06/06/2018 23:00:00;7551.5;7684.7;7551.5;7596;960.135
07/06/2018 23:00:00;7596.4;7628.8;7479.9;7580.7;1133.1575
10/06/2018 23:00:00;6675.4;6760;6577;6690.7;1480.43
11/06/2018 23:00:00;6692.5;6842.1;6386;6464.1;1304.695
12/06/2018 23:00:00;6464.6;6547.7;6068;6194.4;1162.1925
13/06/2018 23:00:00;6194.4;6637.7;6172.5;6592.3;1296.4375
14/06/2018 23:00:00;6591.7;6619.9;6388.4;6432.5;1544.4575
17/06/2018 23:00:00;6430.8;6728.9;6320.8;6662.4;1149.06
18/06/2018 23:00:00;6663.9;6770.6;6604.7;6631.4;1123.1825
19/06/2018 23:00:00;6631.1;6744.4;6493.4;6683.1;1148.9175
20/06/2018 23:00:00;6683.4;6721.2;6617.6;6651.7;895.08
21/06/2018 23:00:00;6652.6;6679.4;5847.2;6007.4;1239.8075
24/06/2018 23:00:00;6121.3;6270.8;6024.6;6189.5;1565.385
25/06/2018 23:00:00;6189.7;6210.8;6073.2;6123.7;1303.3525
26/06/2018 23:00:00;6123.7;6192;5937.1;6065.3;1245.885
27/06/2018 23:00:00;6065.6;6117.1;5969.4;5984.8;887.6
28/06/2018 23:00:00;5986.6;5986.7;5732.2;5842.3;1984.905
01/07/2018 23:00:00;6279.8;6610.3;6215.7;6564.2;1447.105
02/07/2018 23:00:00;6562.2;6608.5;6474.1;6557.9;1109.195
03/07/2018 23:00:00;6557.9;6725;6354.4;6626.7;919.505
04/07/2018 23:00:00;6625.5;6639.9;6393.2;6444.8;1447.02
05/07/2018 23:00:00;6447.7;6569.6;6392.2;6509.2;1212.3925
08/07/2018 23:00:00;6687.5;6696.2;6605;6638.6;1009.2775
09/07/2018 23:00:00;6638.4;6739.9;6268.6;6328;1892.1975
10/07/2018 23:00:00;6333.4;6343.4;6216.6;6293.9;1272.9025
11/07/2018 23:00:00;6293.7;6319.2;6083;6110.9;1128.695
12/07/2018 23:00:00;6111;6273.5;6026.3;6124.5;968.1875
15/07/2018 23:00:00;6318.7;6649.1;6272.1;6599.8;893.59
16/07/2018 23:00:00;6600.1;7390.9;6587.2;7253.9;972.07
17/07/2018 23:00:00;7254.8;7517.5;7181.8;7276.7;618.78
18/07/2018 23:00:00;7259.8;7447.5;7222.7;7359.6;841.3275
19/07/2018 23:00:00;7362.7;7617.9;7218;7293.5;1315.14
22/07/2018 23:00:00;7469.6;7737.9;7282.9;7645;1381.515
23/07/2018 23:00:00;7644.9;8292.5;7639.5;8166.4;1559
24/07/2018 23:00:00;8171.2;8421.3;7997.3;8122.3;1498.0225
25/07/2018 23:00:00;8122.8;8257;8059.3;8080.4;1111.745
26/07/2018 23:00:00;8080.3;8209.6;7739.3;8168.3;1348.64
29/07/2018 23:00:00;8137.6;8209.5;7801;8094.3;1160.8225
30/07/2018 23:00:00;8097.3;8138.2;7606.2;7632.6;1291.8125
31/07/2018 23:00:00;7643.1;7710.6;7405.2;7420.2;1083.74249
01/08/2018 23:00:00;7420.4;7639.8;7379.6;7485.7;993.025
02/08/2018 23:00:00;7483.7;7506.1;7229.7;7327.5;563.81997
05/08/2018 23:00:00;6993.8;7096.6;6827;6861.6;2.94401
06/08/2018 23:00:00;6861.6;7089;6782.1;6817.6;3.50114
07/08/2018 23:00:00;6787.3;6787.9;6068.2;6255.8;4.37088
08/08/2018 23:00:00;6261.9;6488.6;6131.4;6447.8;3.33267
09/08/2018 23:00:00;6460.6;6564;6085.2;6128;3.74143
12/08/2018 23:00:00;6279.2;6470.8;6094.9;6214.7;3.71464
13/08/2018 23:00:00;6214.6;6222.7;5827;6011.3;5.39071
14/08/2018 23:00:00;6011.3;6556.2;6011.1;6311.4;4.60263
15/08/2018 23:00:00;6312.6;6413.7;6154.8;6195.1;4.39142
16/08/2018 23:00:00;6195.1;6491.4;6175.5;6414.9;5.56938
